-l,-f,-j,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/sao,7251944,5430184,74.9,1.8027350902557373,0.06947135925292969
0,ctx,16,65536,32768,32768,10,1,AVERAGE,18781209.09090909,6523979.636363637,34.7,4.504171089692549,0.1408479647202925
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/ooffice,6152192,3201447,52.0,1.4959080219268799,0.06046462059020996
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/mr,9970564,3835647,38.5,2.478013038635254,0.09699273109436035
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/nci,33553445,3526178,10.5,8.207093954086304,0.11188340187072754
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/webster,41458703,13402097,32.3,10.955740690231323,0.3699948787689209
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/reymont,6627202,2111607,31.9,1.7865469455718994,0.060567617416381836
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/dickens,10192446,4273941,41.9,2.8946633338928223,0.12710952758789062
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/mozilla,51220480,19636577,38.3,13.985013008117676,0.3316671848297119
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/osdb,10085684,4301652,42.7,2.827326774597168,0.07923531532287598
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/x-ray,8474240,6054427,71.4,2.2801032066345215,0.11551189422607422
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/samba,21606400,5714373,26.4,5.870166301727295,0.11872029304504395
0,ctx,16,65536,32768,32768,10,2,datasets/silesia/sao,7251944,5462003,75.3,1.9807851314544678,0.07247090339660645
0,ctx,16,65536,32768,32768,10,2,AVERAGE,18781209.09090909,6501813.545454546,34.6,4.9783054915341465,0.14041985164989124
0,ctx,16,65536,32768,32768,10,3,datasets/silesia/ooffice,6152192,3188426,51.8,1.660914421081543,0.06328892707824707
0,ctx,16,65536,32768,32768,10,3,datasets/silesia/mr,9970564,3855569,38.7,2.6529552936553955,0.09668326377868652
0,ctx,16,65536,32768,32768,10,3,datasets/silesia/nci,33553445,3525121,10.5,9.073827266693115,0.11193537712097168
