-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,4,8,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,334.31600689888,1.9593839645385742
0,turbo2,4,8,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,461.0919315814972,2.125713348388672
0,turbo2,4,8,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,461.0919315814972,2.125713348388672
0,turbo2,4,8,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,545.9098954200745,2.052773952484131
0,turbo2,4,8,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,545.9098954200745,2.052773952484131
0,turbo2,4,8,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,780.3440265655518,2.14212703704834
0,turbo2,4,8,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,780.3440265655518,2.14212703704834
0,turbo2,4,16,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,446.0730118751526,2.0686864852905273
0,turbo2,4,16,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,446.0730118751526,2.0686864852905273
0,turbo2,4,16,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,618.0835158824921,2.147780656814575
0,turbo2,4,16,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,618.0835158824921,2.147780656814575
0,turbo2,4,16,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,484.0928328037262,1.974377155303955
0,turbo2,4,16,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,484.0928328037262,1.974377155303955
0,turbo2,4,16,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,672.1013920307159,2.0815625190734863
