filename,compressor,level,orig_size,enc_size,ratio_percent,enc_time,dec_time
datasets/enwik/enwik8,bzip2,4,100000000,30717817,30.717816999999997,0.49236781200124824,0.2101744970004802
AVERAGE,bzip2,4,100000000.0,30717817.0,30.717816999999997,0.49236781200124824,0.2101744970004802
datasets/enwik/enwik8,bzip2,5,100000000,30170188,30.170187999999996,0.4879406710006151,0.23160294800072734
AVERAGE,bzip2,5,100000000.0,30170188.0,30.170187999999996,0.4879406710006151,0.23160294800072734
datasets/enwik/enwik8,bzip2,6,100000000,30097532,30.097531999999998,0.5279061359997286,0.28929164900000615
AVERAGE,bzip2,6,100000000.0,30097532.0,30.097531999999998,0.5279061359997286,0.28929164900000615
datasets/enwik/enwik8,bzip2,7,100000000,29936528,29.936528000000003,0.5485852580004575,0.35323370399964915
AVERAGE,bzip2,7,100000000.0,29936528.0,29.936528000000003,0.5485852580004575,0.35323370399964915
datasets/enwik/enwik8,bzip2,8,100000000,29653992,29.653992000000002,0.616260159000376,0.4363713530001405
AVERAGE,bzip2,8,100000000.0,29653992.0,29.653992000000002,0.616260159000376,0.4363713530001405
datasets/enwik/enwik8,bzip2,9,100000000,29014637,29.014637,0.6136010620011803,0.4978602769988356
AVERAGE,bzip2,9,100000000.0,29014637.0,29.014637,0.6136010620011803,0.4978602769988356
datasets/enwik/enwik8,bzip3,1,100000000,26510248,26.510247999999997,1.0921714979995159,0.9234979829998338
AVERAGE,bzip3,1,100000000.0,26510248.0,26.510247999999997,1.0921714979995159,0.9234979829998338
datasets/enwik/enwik8,bzip3,2,100000000,25403794,25.403794,1.4383166059997166,1.0437688929996511
AVERAGE,bzip3,2,100000000.0,25403794.0,25.403794,1.4383166059997166,1.0437688929996511
datasets/enwik/enwik8,bzip3,4,100000000,24413891,24.413891,1.5084640870009025,1.2056905350000306
AVERAGE,bzip3,4,100000000.0,24413891.0,24.413891,1.5084640870009025,1.2056905350000306
datasets/enwik/enwik8,bzip3,8,100000000,23517973,23.517973,1.7445354039991798,1.4514977540002292
AVERAGE,bzip3,8,100000000.0,23517973.0,23.517973,1.7445354039991798,1.4514977540002292
datasets/enwik/enwik8,bzip3,16,100000000,22677530,22.67753,2.403170047000458,2.270610267001757
AVERAGE,bzip3,16,100000000.0,22677530.0,22.67753,2.403170047000458,2.270610267001757
datasets/enwik/enwik8,bzip3,32,100000000,21916449,21.916449,4.313403723999727,4.5038168050014065
AVERAGE,bzip3,32,100000000.0,21916449.0,21.916449,4.313403723999727,4.5038168050014065
datasets/enwik/enwik8,bzip3,64,100000000,21418318,21.418318,8.047574640000676,10.56465855800161
AVERAGE,bzip3,64,100000000.0,21418318.0,21.418318,8.047574640000676,10.56465855800161
datasets/enwik/enwik8,bzip3,128,100000000,20749611,20.749611,14.585849742999926,13.717951229999017
AVERAGE,bzip3,128,100000000.0,20749611.0,20.749611,14.585849742999926,13.717951229999017
datasets/enwik/enwik8,zstd,1,100000000,40675947,40.675947,0.10322915500000818,0.07860621100007847
AVERAGE,zstd,1,100000000.0,40675947.0,40.675947,0.10322915500000818,0.07860621100007847
datasets/enwik/enwik8,zstd,2,100000000,37372186,37.372186,0.07562990599944897,0.0917489259991271
AVERAGE,zstd,2,100000000.0,37372186.0,37.372186,0.07562990599944897,0.0917489259991271
datasets/enwik/enwik8,zstd,3,100000000,35445335,35.445335,0.12312405299962847,0.09988877800060436
